OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
3853,0028    2463,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,670,217,109,2017-08-13T18:01:04.000Z
3854,0028    2464,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,557,217,91,2017-08-13T18:01:04.000Z
3855,0028    2465,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
3856,0028    2466,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,580,217,94,2017-08-13T18:01:04.000Z
3857,0028    2467,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,630,217,102,2017-08-13T18:01:04.000Z
3858,0028    2468,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
3859,0028    2469,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
3860,0028    2470,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,702,217,114,2017-08-13T18:01:04.000Z
3861,0028    2471,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,553,217,90,2017-08-13T18:01:04.000Z
3862,0028    2472,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,519,217,84,2017-08-13T18:01:04.000Z
3863,0028    2473,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3864,0028    2474,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3865,0028    2475,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3866,0028    2476,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3867,0028    2477,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,711,217,131,2017-08-13T18:01:04.000Z
3868,0028    2478,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3869,0028    2479,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3870,0028    2480,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3871,0028    2481,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,670,217,109,2017-08-13T18:01:04.000Z
3872,0028    2482,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,557,217,91,2017-08-13T18:01:04.000Z
3873,0028    2483,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
3874,0028    2484,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,580,217,94,2017-08-13T18:01:04.000Z
3875,0028    2485,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,630,217,102,2017-08-13T18:01:04.000Z
3876,0028    2486,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
